B02,B03,B04,B08,class
1959,3794,2641,19149,forest
1861,3290,2517,19988,forest
2359,3775,3985,12845,forest
1743,4116,2451,22983,forest
1586,3146,2110,19857,forest
3021,4424,5518,10446,forest
2235,3808,3513,17203,forest
1422,2903,1494,19359,forest
1756,4607,2143,24746,forest
2150,3821,3644,14300,forest
2163,3624,4240,9699,forest
2910,4437,5453,11980,forest
1520,3526,1927,22544,forest
2163,3801,3283,15165,forest
2163,5046,2123,33049,forest
1678,4496,2169,23534,forest
1370,2844,1475,18179,forest
1665,4266,2176,24431,forest
2077,3637,3034,16803,forest
1494,3264,1828,25821,forest
1619,3264,2294,22544,forest
1271,2451,1252,19674,forest
1986,3591,2798,17131,forest
1520,4378,1855,29412,forest
2726,4122,4076,17170,forest
865,2464,1049,29406,forest
1173,2713,1239,28966,forest
924,2143,1140,18533,forest
2431,4365,3028,18402,forest
1029,2759,1016,31221,forest
2844,4941,3827,19346,forest
1769,3224,2674,14667,forest
2281,3814,4168,12648,forest
1638,3788,2412,19438,forest
990,2425,1383,23462,forest
2608,4430,4175,15375,forest
1199,2549,1311,18442,forest
2943,5361,4011,19438,forest
2353,4102,3041,17891,forest
1088,2772,1245,23986,forest
1534,3041,1461,23278,forest
1416,3722,2058,23566,forest
2943,4692,5977,12281,forest
1429,3198,1573,23488,forest
2969,4528,6003,11744,forest
2359,3906,3375,15414,forest
2123,3801,2615,20447,forest
2123,3932,3644,13317,forest
1167,2792,1324,28390,forest
2281,3893,3559,14391,forest
1409,3047,1697,16803,forest
1127,2313,1396,20657,forest
1520,3270,2287,19189,forest
1291,2458,1311,17524,forest
2143,4823,2268,29124,forest
996,2870,1337,25539,forest
1999,5321,2163,37801,forest
2569,4089,4548,11456,forest
990,2340,1245,23697,forest
1049,2700,1206,29124,forest
1802,3899,2359,20073,forest
1311,2536,1560,21286,forest
2431,3840,3650,14287,forest
2766,4286,5308,11613,forest
1671,3336,1953,23383,forest
2333,5112,2294,30225,forest
1311,2785,1809,22118,forest
1894,3211,2897,12432,forest
1475,3631,1625,23363,forest
2241,4496,2189,28521,forest
2844,4974,3801,18861,forest
1933,4791,2281,23855,forest
1835,4555,2425,19962,forest
1586,2982,2215,14798,forest
1180,2779,1232,29668,forest
1946,3126,2779,12838,forest
3486,5466,6586,14090,forest
1966,4968,2038,32899,forest
1979,3552,3041,15034,forest
1193,2582,1160,19569,forest
1842,4050,2595,19556,forest
1750,3257,2281,18612,forest
1599,3801,2313,19785,forest
1527,3526,1553,30067,forest
885,2372,1153,23016,forest
1953,3382,3552,11174,forest
1088,2523,1186,27394,forest
2661,4889,3539,21338,forest
1606,3644,1815,26057,forest
1940,3598,2608,18566,forest
2798,4194,4483,14509,forest
1783,4142,2104,29045,forest
1284,2431,1442,20473,forest
1488,2517,1304,19162,forest
1534,3323,1848,25218,forest
1134,2641,1153,29832,forest
3087,4646,6160,11324,forest
1488,3316,1796,25559,forest
1593,3192,2444,18468,forest
1684,3722,2497,19208,forest
2032,3709,3467,13264,forest
1717,3749,2392,18782,forest
2038,4102,3093,17885,forest
1330,3172,1566,23619,forest
2123,5190,2045,38567,forest
1632,3840,2458,20657,forest
1429,3119,1671,23855,forest
1527,4142,2051,25133,forest
1232,2503,1586,16659,forest
1553,3578,1638,28311,forest
1488,3310,1946,23226,forest
1612,3251,2195,20526,forest
872,2235,1016,21240,forest
2110,5531,2451,33161,forest
2661,4915,3788,19857,forest
1606,3486,2326,20526,forest
1612,2884,2333,19785,forest
1081,2071,1232,19110,forest
1298,3316,1402,29019,forest
963,2759,1206,29084,forest
1429,3178,1606,22832,forest
1199,2903,1638,18900,forest
1186,2287,1363,18127,forest
2569,4063,4889,11456,forest
2517,3853,4299,10997,forest
1343,2195,1363,16620,forest
1042,2392,1147,23645,forest
1828,4535,1966,32197,forest
1724,3971,2431,20047,forest
1527,3159,1796,24169,forest
1140,2595,1560,19267,forest
1324,2477,1429,19569,forest
4286,5761,5702,17550,forest
2956,4273,5466,10486,forest
1940,3257,3093,12701,forest
2163,4745,2510,24563,forest
1376,2680,1461,19674,forest
1632,3565,1901,23750,forest
1298,3251,1455,21417,forest
1363,3545,1507,29910,forest
1651,3670,1914,22492,forest
1180,2530,1370,17563,forest
3093,4404,4620,14588,forest
1206,2340,1940,13225,forest
2956,4463,5466,12832,forest
2490,3762,4463,10853,forest
1632,3277,2084,18704,forest
2752,4168,5518,10918,forest
1167,2811,1376,19988,forest
1271,2661,1324,20604,forest
4273,6128,6252,14765,forest
1527,3604,2281,18704,forest
1822,3696,2320,19254,forest
3296,4535,4981,13277,forest
1901,3958,2582,20290,forest
1547,3172,1743,24300,forest
1527,4391,1959,29333,forest
1409,2490,1553,16803,forest
1665,3106,2051,20814,forest
1684,3631,1874,20971,forest
1448,3277,1710,26555,forest
1619,3565,2320,17124,forest
1409,3395,1422,29779,forest
1186,2733,1422,16292,forest
1455,2995,1494,23435,forest
1579,3310,1966,23278,forest
1180,2792,1389,18769,forest
1671,3237,2051,22780,forest
2202,4679,2268,29412,forest
1789,3270,2018,20067,forest
1769,3500,1881,25611,forest
1383,3159,1488,26424,forest
1330,2707,1743,17694,forest
1153,2294,1357,16109,forest
2136,4332,2635,21594,forest
2110,3985,3329,18940,forest
1167,2530,1468,19418,forest
2091,3532,4037,9870,forest
2752,5453,3447,24169,forest
1448,3355,1730,26738,forest
1245,2582,1566,18350,forest
1219,2687,1416,17314,forest
3034,4850,4011,17393,forest
1265,2340,1298,18913,forest
2385,4207,3506,15768,forest
2661,4312,4948,13343,forest
1186,2372,1389,21410,forest
1724,4732,2333,26843,forest
1468,3480,2163,21345,forest
1108,2739,1278,28966,forest
2163,4836,2058,30487,forest
1553,2536,1481,19425,forest
1534,3965,1940,23619,forest
1173,3034,1527,25297,forest
2202,4338,2903,18651,forest
1927,4076,2517,19162,forest
2150,3539,2949,17708,forest
2995,4758,4024,17878,forest
1979,4712,2156,31883,forest
1848,4469,2326,22308,forest
1638,3722,1560,32899,forest
1992,5335,2150,39858,forest
1127,2556,1330,18691,forest
773,2163,983,21102,forest
2156,4220,3159,18271,forest
1783,3283,2176,19923,forest
1651,3696,2418,20735,forest
2372,4168,3133,20001,forest
1108,2025,1370,17930,forest
1599,2693,1442,19844,forest
2150,3631,2910,18494,forest
2589,4142,3958,13723,forest
1927,3513,2661,14365,forest
1363,2949,1658,20519,forest
1245,3500,1534,25323,forest
1173,2608,1547,20735,forest
1769,3500,2110,20919,forest
2438,3722,4365,10617,forest
1507,3853,1992,26089,forest
1573,3893,2110,22387,forest
1094,2536,1068,22629,forest
2608,4122,4784,11600,forest
1147,2903,1226,27525,forest
1887,4227,2254,21889,forest
1534,3677,2281,21731,forest
1370,3565,1481,28599,forest
1199,2713,1186,29307,forest
2254,3945,2818,17196,forest
1586,4430,1927,32296,forest
1665,3368,2222,18297,forest
1383,3303,1887,21155,forest
1429,2313,1874,14981,forest
1239,3329,1665,28232,forest
1121,2372,1226,16790,forest
1422,3316,1920,24274,forest
1488,3631,2189,20571,forest
1992,3375,3146,13422,forest
2792,4168,4994,11901,forest
1920,3368,2772,16384,forest
1861,3604,2621,23121,forest
1874,4240,2366,23802,forest
2451,3801,3965,12766,forest
2399,4011,4050,13435,forest
1802,3794,2091,25664,forest
1475,3139,1730,19739,forest
3074,5230,4306,18428,forest
2562,3939,3971,12373,forest
1442,3408,1966,19837,forest
1553,2562,1691,19857,forest
2870,4089,4941,10997,forest
1383,2962,1992,16390,forest
1153,2635,1258,21994,forest
3113,5787,4358,20145,forest
1842,3139,2857,13723,forest
2576,3539,3840,11285,forest
1691,3552,2097,21417,forest
1488,3015,1658,23199,forest
1612,4122,2051,25323,forest
1560,4175,2136,26083,forest
1540,2877,1874,21731,forest
3178,5466,4155,20368,forest
1448,3310,1665,27865,forest
2857,5125,3722,22361,forest
2307,3749,4515,9752,forest
1612,4063,2228,23770,forest
1560,3644,1999,21017,forest
3264,5839,4502,20250,forest
1887,3211,2792,13408,forest
2150,3395,3251,11534,forest
3454,4732,6154,9489,forest
1848,4207,1901,21128,forest
1999,4325,2412,20552,forest
1756,3971,2418,20788,forest
1527,2831,1435,18900,forest
950,2228,1029,18507,forest
2543,4044,4469,11613,forest
1737,3906,1953,23357,forest
1468,2903,1612,21233,forest
1874,3434,3565,11501,forest
1442,3906,1842,27420,forest
1481,2851,1730,18127,forest
1697,3591,2556,17386,forest
2136,4601,2785,24930,forest
1887,3224,2870,13893,forest
2412,4522,3853,18258,forest
1730,3657,2071,23330,forest
2281,4037,3722,13408,forest
2156,3382,3054,12615,forest
1153,2733,1258,29910,forest
2582,4719,3618,18415,forest
1848,3585,2635,17930,forest
1809,3683,2346,18048,forest
1566,3421,1920,25375,forest
2202,3513,3670,13343,forest
2916,4450,5623,12255,forest
2202,4247,3368,16181,forest
1317,2674,1429,18848,forest
1979,3722,2595,19923,forest
2399,4312,3526,18127,forest
2982,4279,5407,10197,forest
1783,3303,2228,17996,forest
1868,4535,2451,21679,forest
2005,3853,2608,18546,forest
2844,3886,5276,9385,forest
2018,4116,2772,18992,forest
1534,3316,1901,26633,forest
1330,2943,1645,20578,forest
1022,2726,1337,27420,forest
1147,2667,1180,30140,forest
1710,3545,1959,24798,forest
1193,2136,1239,19647,forest
1468,3231,1586,19949,forest
1232,2988,1317,27158,forest
1160,2864,1514,24241,forest
2018,3316,2503,18730,forest
1730,3585,2209,18035,forest
970,2759,1167,22079,forest
1514,3591,1573,31457,forest
2995,4732,5859,13068,forest
1271,2202,1298,18035,forest
3539,5557,5387,17694,forest
1835,3958,2300,23330,forest
1324,2818,1828,22177,forest
1756,3513,2510,20893,forest
1317,2890,1435,17852,forest
1402,2975,1730,19058,forest
1180,2569,1396,23140,forest
2333,3971,3296,15820,forest
1363,2569,1258,22334,forest
2444,4089,3644,14378,forest
1520,3119,1448,17760,forest
1271,2589,1311,18179,forest
1737,3801,2556,18677,forest
917,2281,1094,19851,forest
1612,3218,1697,26450,forest
1953,4568,2720,19661,forest
1796,3880,2674,18179,forest
2648,3919,4863,11809,forest
2018,5125,2110,37099,forest
1599,3041,1730,21286,forest
3106,4299,5400,10210,forest
1665,3152,1920,21967,forest
2195,3480,4247,9254,forest
1094,2720,1265,29759,forest
2340,4063,3867,14798,forest
1868,3814,2595,18048,forest
1612,2779,1311,23409,forest
1520,3336,1619,26633,forest
1933,3329,2641,13605,forest
1232,2733,1239,29104,forest
2556,3912,3880,13893,forest
1160,2779,1514,15820,forest
2608,3958,4981,11429,forest
1612,3382,1815,26817,forest
1992,3709,2851,17249,forest
1422,3650,1429,34026,forest
1651,3998,2097,24386,forest
2104,3631,4037,9909,forest
1455,3552,1783,26266,forest
1055,2654,1258,21967,forest
2254,3683,4430,9208,forest
1848,3513,2163,21469,forest
1776,3624,2392,20493,forest
2458,3644,5020,9922,forest
1586,3657,1586,31640,forest
1593,3421,1769,25821,forest
2543,4738,4037,18206,forest
1992,3395,3618,10813,forest
1789,4102,2326,24064,forest
2300,3447,3539,11731,forest
1422,3506,2045,20716,forest
1573,4325,2091,25454,forest
2399,3978,4797,12006,forest
1383,3388,1783,22996,forest
1815,3670,2517,16685,forest
1370,2130,1409,16738,forest
1284,2438,1357,18835,forest
1324,2975,1448,18402,forest
1756,4030,2641,20054,forest
970,2268,1206,21522,forest
2163,4273,3264,18114,forest
1540,2635,1547,19149,forest
1311,3349,1573,27551,forest
1724,3172,2143,19372,forest
1861,3506,2136,22072,forest
1959,3722,2811,16318,forest
931,2503,1108,30992,forest
1527,3408,2333,19916,forest
3106,5557,4122,21731,forest
1114,2602,1540,23285,forest
1625,3434,1946,22937,forest
1638,3939,2091,24510,forest
1560,3054,1940,19385,forest
1599,3532,1796,24641,forest
1442,3237,1540,26791,forest
1901,3382,3028,17688,forest
2759,4299,4096,15991,forest
1579,3644,1920,23697,forest
1691,3362,2517,17518,forest
2693,4175,5269,11206,forest
1488,3644,2176,20526,forest
2785,5033,3985,19110,forest
1881,4063,2425,19870,forest
1389,2503,1435,19595,forest
1796,3539,2471,17301,forest
944,2556,1494,19300,forest
1383,2477,1422,17131,forest
1343,2667,1357,18835,forest
2523,4535,4319,16515,forest
1042,2884,1232,29851,forest
1330,2543,1383,19189,forest
1651,3500,2326,18022,forest
3598,4994,6252,13592,forest
1540,3552,1671,29176,forest
2038,4102,2857,19739,forest
3067,4483,4542,14470,forest
1586,3329,1665,26266,forest
1691,2877,2785,10617,forest
3447,5158,5217,16030,forest
1468,2890,1691,19529,forest
2064,4227,2340,21181,forest
1298,3644,1691,21338,forest
2497,5295,2713,26476,forest
2949,5243,4063,20394,forest
1789,3486,2595,17708,forest
2595,4437,4194,17092,forest
1042,2530,1363,20735,forest
1697,4024,2530,21312,forest
1357,2733,2143,19674,forest
4260,5243,6580,11154,forest
1658,3329,2025,19910,forest
2438,3775,4266,12570,forest
1330,3198,1514,26686,forest
1809,3644,2117,19477,forest
1593,3434,1724,29019,forest
1284,2543,1527,20316,forest
1265,2903,1520,23560,forest
1245,2438,1461,17052,forest
1088,3526,1520,29333,forest
1330,3414,1429,23986,forest
2228,4116,3152,16154,forest
2123,3840,2844,19569,forest
1776,3788,2543,18284,forest
1455,2648,2150,19713,forest
1291,2582,1278,22177,forest
2405,3742,3762,12399,forest
1134,2949,1429,19418,forest
1599,3408,1665,28232,forest
1678,3998,2517,21181,forest
1553,3735,1665,22334,forest
2176,3631,2851,16607,forest
1442,3677,1448,21155,forest
2261,3749,4273,12203,forest
1114,2399,1363,17996,forest
2576,4522,3814,17341,forest
2058,3834,3408,17380,forest
1671,3434,1632,22020,forest
1265,2825,1357,21102,forest
1553,3539,2444,17780,forest
1402,3342,1579,27263,forest
1507,3408,1534,27525,forest
1416,2536,1416,16292,forest
1009,2988,1180,25657,forest
1901,3473,2222,19982,forest
1763,3473,2517,18769,forest
2936,4299,5623,11665,forest
2189,5728,2228,37932,forest
2235,4050,3060,19451,forest
1442,3467,1475,27892,forest
1645,3552,2385,18442,forest
3224,5584,4673,19621,forest
1245,3414,1409,34019,forest
3244,5767,4574,21364,forest
1278,2425,1258,20368,forest
1606,3290,1776,23802,forest
2071,3716,2884,16502,forest
1743,3755,2372,20421,forest
1579,3002,1691,23095,forest
1520,3165,1658,23462,forest
1422,3080,1475,25899,forest
1160,2405,1396,18533,forest
1212,2399,1357,17537,forest
2025,3486,3814,11423,forest
2975,4234,5492,11534,forest
1966,4358,2667,23350,forest
2097,3644,3185,18677,forest
2077,5053,2123,36070,forest
2995,4299,5767,11089,forest
2910,4332,5774,10892,forest
1717,3441,2091,25690,forest
1999,3368,2936,16344,forest
2713,3906,4804,10315,forest
1383,2490,1311,19005,forest
1855,3539,2366,19411,forest
