B02,B03,B04,B08,class
3493,5164,6029,13448,forest
4430,5734,6822,13730,forest
2097,2635,3290,5053,forest
3978,5498,6180,16167,forest
3447,5033,5053,15925,forest
3441,5407,6350,13081,forest
2831,3912,4142,12386,forest
1966,2333,2949,4574,forest
2294,2536,3454,5249,forest
1914,2589,3106,5099,forest
2268,3362,3067,11777,forest
2477,3473,3735,11154,forest
3172,4607,5361,15800,forest
2510,2923,3631,5354,forest
3408,5243,5164,18560,forest
4076,6154,6442,16449,forest
4391,5511,6750,12131,forest
3722,4430,4325,15735,forest
4299,5426,6868,11573,forest
2136,2418,3211,4876,forest
3735,5590,5459,19248,forest
3801,5341,5498,16069,forest
2169,2910,3945,5702,forest
2798,3395,4483,7851,forest
2510,3178,4096,5833,forest
3296,4430,4260,12602,forest
1907,2385,3192,4836,forest
2123,2838,3663,5282,forest
2661,3165,4247,6442,forest
2287,2661,3441,5171,forest
3716,5505,5669,16240,forest
4266,5610,6809,14654,forest
2733,3624,4286,10853,forest
4063,5682,5964,15715,forest
2287,2661,3421,5223,forest
3545,5184,5321,17694,forest
3559,4797,5269,13349,forest
2012,2392,2949,4804,forest
3211,4188,4823,11698,forest
3513,4312,6678,15650,forest
3342,4214,4968,11973,forest
3395,4463,5407,11875,forest
4489,5354,6835,11089,forest
2045,3382,2792,11344,forest
3703,5354,5924,15958,forest
1212,2399,1730,12583,forest
2228,2720,3178,5492,forest
4155,5629,7019,14713,forest
4122,5669,6239,15414,forest
3526,4614,5158,12871,forest
3552,4345,5649,9109,forest
1979,2523,3087,5000,forest
2405,3677,3080,15322,forest
2549,3034,3867,6783,forest
3598,4371,5682,9031,forest
4332,5885,7052,14942,forest
4830,6147,7661,13848,forest
2700,3604,3690,10322,forest
1874,3565,2241,14549,forest
2222,2700,3237,5230,forest
3788,5171,5800,14568,forest
2215,3860,3093,18566,forest
4017,5728,6390,15578,forest
2169,2582,3349,4922,forest
2707,4561,4011,16240,forest
2281,2680,3401,5059,forest
1940,3244,2143,15375,forest
3526,4109,5295,7995,forest
3716,5125,4758,14778,forest
4430,5649,7255,10833,forest
2877,4004,3939,16495,forest
2556,4194,3323,18894,forest
3788,4745,5937,9037,forest
2077,2484,3178,4843,forest
1999,2549,3211,5066,forest
3814,5590,6016,16272,forest
2949,3735,4850,7124,forest
2641,3677,3716,13205,forest
3159,4660,4555,15093,forest
1920,3611,2412,15257,forest
2798,3847,4391,11711,forest
2209,2667,3441,5164,forest
4574,5931,7058,16213,forest
3165,4581,3991,17793,forest
2104,2884,3722,6226,forest
4469,5505,6940,11541,forest
5924,8113,10138,19103,forest
2143,2392,3133,4784,forest
1848,3198,2759,11999,forest
3034,4804,4712,17898,forest
2353,2733,3454,5099,forest
3283,4850,4220,14614,forest
4293,6016,6809,17885,forest
2713,3178,4371,6593,forest
4384,5407,6809,11167,forest
2300,2779,3513,5348,forest
2202,4273,3316,15610,forest
2713,3624,3991,10839,forest
3624,5433,5492,18029,forest
4240,6003,6416,16915,forest
4299,5787,5675,16200,forest
3735,4437,5721,8998,forest
2438,2949,3945,5793,forest
1999,2379,3251,5066,forest
3644,5308,5878,16292,forest
2943,3624,4810,7287,forest
4895,6331,8087,13349,forest
4791,6285,7654,14752,forest
2287,2635,3349,5086,forest
2248,2687,3493,5046,forest
2176,2523,3205,4994,forest
2680,4509,3696,19221,forest
3853,5446,5734,17282,forest
3762,5557,5780,18573,forest
2333,2680,3532,5341,forest
2399,3087,4004,7858,forest
2215,2674,3454,5321,forest
2274,2910,3998,6278,forest
3565,5151,5472,15722,forest
4469,5813,7038,14044,forest
1638,3270,1842,14627,forest
2209,3329,2844,12353,forest
2202,2693,3611,5328,forest
3146,4312,5177,11672,forest
1887,3559,2326,13349,forest
2071,2562,3251,5262,forest
3657,5354,5820,17714,forest
2117,3139,2693,9752,forest
2136,2438,3375,4882,forest
3958,4850,6088,10191,forest
2182,2700,3388,5164,forest
4430,5951,7019,14608,forest
2582,3860,3460,11993,forest
2143,2471,3224,4771,forest
3880,5577,5990,15473,forest
4319,5931,7104,14693,forest
2438,3028,4096,5662,forest
3539,5321,5203,18317,forest
1101,1560,1737,5027,forest
3323,4601,4968,14313,forest
3500,5315,5197,17006,forest
2825,3808,4214,11986,forest
2359,2844,3677,5420,forest
2635,3991,3742,15604,forest
2150,2346,3165,4745,forest
3939,5603,6114,16790,forest
2825,4155,4299,10984,forest
2136,2543,3119,4758,forest
3093,4771,4633,18750,forest
4234,6193,6665,18874,forest
4227,5072,4817,17059,forest
3015,4902,4371,20250,forest
2628,3808,4411,10872,forest
4266,6173,7084,18061,forest
2431,3323,3329,11659,forest
2366,2870,3637,5492,forest
4620,6344,5728,15086,forest
2864,4758,4102,22229,forest
2189,2471,3159,5577,forest
1737,1992,2739,4161,forest
8074,9018,9935,16974,forest
2077,2569,3408,5079,forest
2897,4810,4594,18900,forest
3401,3945,5053,7491,forest
3408,5144,5269,16128,forest
2281,3454,3434,11521,forest
2929,3775,4843,7137,forest
3467,5079,5308,14097,forest
2281,2569,3441,5249,forest
3821,4863,5918,10912,forest
3624,4489,5570,9103,forest
3159,4122,4810,11541,forest
1527,3113,2051,12963,forest
3283,3840,5059,7386,forest
4030,5177,6232,12321,forest
3368,4070,5151,8585,forest
2831,3814,4044,11521,forest
3041,4935,4686,20159,forest
4220,5597,6907,13625,forest
3421,4234,5315,8480,forest
4181,5236,6665,10866,forest
3218,4660,4614,16128,forest
3663,4044,4791,10971,forest
2136,2431,3185,4981,forest
2517,3244,4581,6927,forest
3277,5230,5197,18560,forest
3565,5315,5597,17249,forest
3119,4247,4941,12714,forest
2399,3460,3775,8769,forest
2110,2510,3192,4895,forest
3893,5446,5695,16397,forest
2320,2589,3296,5125,forest
2444,3663,3388,11639,forest
3283,4030,5027,8408,forest
2182,2759,3395,5669,forest
2300,2798,3480,5269,forest
2523,2870,3840,5570,forest
2693,3316,4614,6940,forest
3100,4935,5282,17373,forest
3945,4771,5944,10302,forest
2359,2936,3880,5446,forest
3421,4253,5367,8893,forest
1946,2359,3100,4863,forest
2471,3821,3060,15656,forest
2169,2530,3303,5066,forest
4037,5538,6219,14962,forest
3637,4961,5577,14208,forest
4391,5570,6678,10898,forest
1979,3513,2353,13730,forest
3218,4030,4830,9024,forest
4679,6134,7772,16299,forest
3729,5354,6062,15407,forest
4168,5335,4922,15427,forest
4273,5557,6573,15047,forest
4135,5643,6573,15309,forest
3880,5702,5859,13304,forest
2189,2628,3618,5518,forest
3224,4109,4961,9909,forest
3899,5806,6134,17570,forest
2811,3467,3991,10394,forest
2444,3093,3886,5957,forest
2176,2451,3296,5066,forest
3912,4483,5190,14215,forest
3958,5151,5230,14313,forest
2182,2615,3342,5151,forest
2261,2707,3683,5302,forest
1776,2287,3211,4948,forest
4227,5328,6475,11390,forest
2248,2851,3559,6108,forest
3932,5590,5577,16593,forest
4050,5544,5990,14896,forest
5806,7379,9240,15106,forest
4011,5669,5996,16023,forest
2969,3853,4810,10800,forest
3801,4646,5151,9856,forest
2307,2759,3729,6128,forest
2176,3755,2916,17649,forest
2274,2543,3244,5099,forest
2294,2884,3729,5518,forest
3657,5269,5754,17078,forest
2353,3460,3060,12288,forest
2471,3087,4004,6920,forest
3401,4476,5394,11665,forest
3539,4483,5479,10951,forest
3244,4948,4817,17760,forest
2530,4391,3683,19398,forest
3028,4666,4778,15545,forest
2038,2326,3060,4850,forest
3631,4889,4902,18913,forest
2045,2458,3139,4823,forest
2202,2589,3277,5105,forest
2857,4194,4044,12976,forest
2117,2503,3329,4869,forest
2477,3067,4175,5800,forest
2215,2726,3703,5413,forest
3814,5394,5983,16095,forest
2320,3781,3572,12950,forest
2045,2549,3368,4994,forest
2995,4430,4581,13605,forest
4483,5649,6619,11501,forest
3329,4450,5223,11875,forest
2254,2628,3165,5059,forest
2254,2477,3283,4928,forest
1920,2444,3080,4646,forest
2700,3224,4509,6540,forest
2300,3578,3368,14890,forest
3113,4037,4915,11089,forest
2136,2621,3283,5072,forest
2870,4994,4771,18337,forest
2038,3106,2661,10335,forest
1809,2300,2956,4515,forest
2169,2693,3460,5302,forest
4778,5800,7399,15178,forest
3382,5020,5479,12498,forest
2143,2635,3277,5230,forest
2726,3545,3867,10125,forest
1927,2307,2995,4653,forest
3218,4240,4201,13166,forest
2903,4725,3735,15479,forest
2700,4050,3460,17839,forest
2084,2615,3362,4961,forest
1868,3670,2569,15257,forest
3788,5099,6128,12406,forest
3277,4050,5013,10047,forest
3480,4286,5400,9063,forest
1822,2576,3237,5158,forest
3231,4424,5027,11646,forest
3703,4830,5538,12301,forest
2405,2844,3794,5570,forest
2654,4194,3899,14863,forest
3893,5629,5787,17190,forest
3434,4161,5433,8166,forest
4450,5439,6999,11442,forest
2032,2615,3146,5531,forest
3519,5112,5407,15368,forest
3368,4909,5086,14182,forest
4391,5780,7038,13985,forest
4778,6331,7989,14758,forest
3690,4954,5525,13074,forest
4214,5426,6422,14713,forest
2228,2595,3296,5099,forest
2209,2818,3552,5610,forest
3611,4306,5505,8808,forest
2399,2707,3447,5374,forest
2117,2510,3270,5007,forest
1973,2405,3192,4974,forest
4319,6069,7078,15165,forest
2163,2464,3224,5086,forest
3867,5348,6036,15440,forest
2340,2844,3618,5190,forest
2064,2412,2995,4653,forest
3670,5459,5544,16456,forest
2097,2425,3185,4922,forest
3572,5164,5715,16921,forest
3808,5577,6055,15866,forest
3427,5230,5761,12917,forest
4764,6075,7982,12229,forest
3834,5361,5715,16856,forest
2635,4168,3703,16167,forest
2425,2707,3611,5584,forest
3218,4201,4778,12190,forest
2077,2464,3093,4935,forest
4037,5518,6029,15755,forest
4175,5184,6554,10807,forest
2497,3985,3257,15217,forest
2333,3683,3041,14837,forest
2943,3912,4463,12347,forest
1455,3028,1848,12642,forest
2228,2654,3310,5203,forest
2261,2739,3401,5053,forest
2156,2693,3368,5105,forest
2517,3185,4083,5774,forest
3939,5734,6121,15912,forest
3794,4941,5931,10584,forest
2136,2621,3159,5413,forest
2123,3198,3034,12353,forest
2425,3152,4109,6521,forest
2281,2661,3493,5243,forest
3257,4207,5249,8821,forest
2359,2726,3434,5420,forest
2143,2523,3382,5040,forest
3912,6003,5964,17006,forest
4548,5584,6704,13264,forest
1966,2359,2844,4371,forest
2307,2621,3283,5203,forest
1468,2798,1835,11043,forest
2084,2648,3362,5321,forest
2032,2405,3192,5099,forest
2051,2458,3146,4810,forest
2635,4050,3283,19438,forest
3277,4306,5243,12157,forest
3093,4332,4352,12190,forest
2870,4325,4083,14313,forest
4279,6147,6881,17445,forest
2084,3028,2929,10027,forest
2995,4784,4352,17583,forest
4188,5269,6750,10853,forest
2333,2648,3283,5341,forest
4188,5951,6259,17327,forest
4253,5269,6737,10951,forest
3998,5702,6219,14352,forest
3060,4509,4823,14562,forest
4024,5859,6475,13887,forest
1920,2340,3100,4699,forest
3408,4954,4954,15578,forest
2195,2543,3218,4954,forest
1743,3047,2130,12681,forest
4515,6206,7229,16489,forest
4076,5374,6442,13146,forest
2169,2471,3257,4981,forest
3303,4935,5092,14739,forest
2890,4266,3618,16023,forest
2576,4345,3631,19661,forest
4352,5616,6783,14339,forest
2385,3493,3755,11803,forest
3368,4083,4902,10053,forest
1868,3080,2294,12904,forest
2910,3454,4581,6888,forest
2444,2792,3657,5112,forest
4352,5754,6318,15014,forest
3395,4102,5197,8198,forest
4037,5623,6154,14831,forest
4044,4902,5013,15506,forest
3716,4555,5905,8952,forest
3919,5623,6187,15171,forest
4116,5761,6357,16167,forest
2372,2772,3611,5446,forest
3585,5426,5734,17799,forest
2254,2969,3880,8919,forest
2110,2300,3080,4705,forest
4909,6187,8146,12373,forest
3382,4496,5590,12157,forest
2032,2392,2962,4601,forest
2117,2503,2975,5675,forest
2739,4430,4083,15453,forest
2254,2569,3205,5099,forest
4778,6042,7871,12314,forest
1973,2254,2929,4456,forest
2982,3808,4542,9719,forest
3958,5761,5951,16541,forest
2726,4325,3735,15453,forest
2281,2661,3067,5125,forest
3690,5197,5511,15165,forest
4810,4745,5118,11626,forest
2025,2707,3192,5335,forest
2241,2621,3329,5210,forest
2903,3454,4620,6770,forest
3486,5321,5643,19038,forest
2444,2864,3598,5426,forest
4037,4915,6285,12917,forest
1992,2484,2884,5262,forest
2195,3755,3087,12190,forest
3002,4882,4699,17622,forest
2700,3382,4902,7674,forest
1815,3329,2071,12976,forest
2091,2543,3021,5459,forest
3106,4404,4705,13507,forest
2202,2608,3296,5099,forest
3703,5387,5924,14142,forest
2936,4594,4207,17019,forest
5688,7779,9666,17983,forest
3985,4915,5800,13507,forest
3408,5276,5118,16784,forest
2110,2451,3316,4941,forest
2399,2811,3637,5466,forest
1881,3552,2268,14175,forest
4148,5643,6409,15728,forest
2143,2746,3880,5820,forest
4502,5125,4994,15184,forest
2228,2785,3460,5505,forest
3074,4489,3860,15565,forest
2051,2477,3198,4673,forest
2182,2497,3139,4817,forest
4981,6331,7890,12216,forest
2287,2720,3454,5249,forest
3971,5898,6298,16246,forest
1763,3080,2281,11606,forest
2372,2641,3310,5479,forest
3618,5308,5977,14018,forest
2720,4279,3978,16010,forest
3251,4135,5485,9889,forest
4771,5662,5878,14136,forest
2071,4450,3585,18383,forest
4122,5394,6429,11587,forest
1842,3349,2444,12622,forest
2215,2576,3257,5158,forest
2392,2956,3827,5538,forest
3441,4306,5407,8454,forest
3893,5190,5505,15899,forest
2012,2353,2949,4548,forest
2916,4325,4456,12891,forest
2405,2602,3473,5335,forest
4076,5734,6036,17216,forest
2602,4220,3801,15630,forest
3893,5459,5629,15696,forest
3971,5570,6206,15165,forest
2248,2608,3303,5138,forest
2287,3087,4279,6154,forest
3749,5439,6023,14365,forest
4057,5629,6239,16233,forest
2713,3716,3952,11901,forest
3709,4411,5629,8631,forest
2628,3290,4142,6416,forest
4220,5656,6717,12530,forest
3349,4646,4620,13310,forest
3624,5669,5354,20794,forest
3283,4863,4882,17203,forest
3080,3703,4614,8179,forest
3087,3827,3985,14175,forest
2385,2759,3572,5328,forest
3323,4030,5184,7963,forest
2693,3788,4116,12589,forest
3126,5197,4725,18927,forest
2353,3264,3264,10400,forest
