B02,B03,B04,B08,class
1298,2366,1140,20106,forest
1186,1881,937,17177,forest
2385,4509,2949,24300,forest
1409,2235,1212,19346,forest
1946,2032,2254,5649,forest
2248,4063,2884,19936,forest
1350,2032,1009,13920,forest
1619,2582,1383,17033,forest
2005,4089,1835,28252,forest
1586,2608,1383,20480,forest
1579,2687,1311,18402,forest
1992,3224,1658,25526,forest
1946,3218,1776,24563,forest
1514,2471,1206,19562,forest
1606,3041,1311,26286,forest
3473,3971,5033,7812,forest
1999,3729,1861,27846,forest
2464,4548,2490,25506,forest
2438,4004,2995,19595,forest
2595,4810,3277,22033,forest
1455,2359,1278,21541,forest
1298,1783,996,18540,forest
1350,2320,1226,19438,forest
1416,2510,1265,19955,forest
1501,2451,1232,21423,forest
2110,4430,2412,25323,forest
1258,1973,1199,22537,forest
1363,2143,1180,18625,forest
2241,2346,2956,4430,forest
1710,2661,1330,23199,forest
1357,2438,1206,24667,forest
2320,2779,3264,5413,forest
1586,2929,1481,26214,forest
2104,4188,2038,24300,forest
1560,2399,1206,22177,forest
1547,2582,1350,21050,forest
1311,2307,1075,21312,forest
1507,2831,1481,21502,forest
1330,2045,1055,19005,forest
2923,3670,4424,9765,forest
1409,2903,1324,24156,forest
1481,2602,1173,21181,forest
1625,2792,1330,22210,forest
1979,3303,1933,24739,forest
1534,2261,1180,16266,forest
1265,2143,1022,21994,forest
1783,3211,1625,25146,forest
1363,2313,1271,19418,forest
2005,3244,2071,23173,forest
1455,2045,1252,17570,forest
1553,3080,1475,24739,forest
1088,2005,1003,17341,forest
3113,3585,4207,7995,forest
1651,2838,1730,15217,forest
1226,1743,911,16705,forest
1461,2484,1337,21705,forest
1599,2969,1534,21253,forest
1226,2071,1022,16803,forest
1658,3178,1815,23645,forest
1226,1901,924,16777,forest
1796,3336,1671,25218,forest
1127,2176,1049,14221,forest
1520,2975,1376,23068,forest
1547,2464,1337,21187,forest
1304,2123,1035,24274,forest
1271,2110,1167,16115,forest
1160,2104,1049,20755,forest
